index,Title,JobDescription,JobRequirment
25,Deputy Program Director,"Project Harmony, an innovative, not-for-profit professional exchange and training organization with 13 offices across the US, Armenia, Azerbaijan, Georgia, Russia and Ukraine currently seeks an experienced, mature professional to fill the position of Deputy Program Director for the Armenia School Connectivity Program (ASCP), a program of the Bureau of Educational and Cultural Affairs of the US Dept. of State administered by Project Harmony. This position is based in Yerevan, Armenia with extensive regional travel. Fluency in Russian and/or Armenian is essential. Project Harmony seeks to fill this position as soon as possible.  Project Harmony is an equal opportunity employer, which provides its staff opportunities for job growth, innovation, and creativity.","- Assist the Program Director in all aspects of program management, including program design, implementation, reporting, promotion and evaluation; - Establish and maintain relationships with Armenian and international working partners;  - Oversee financial accounting and reporting;  - Assist Program Director with staff and financial management and provide direct oversight of 2-3 departments; - Coordinate with the Public Affairs Section of the US Embassy in Yerevan;  - Lead reporting and promotional activities in tandem with fellow DPDs;  - Communicate regularly with PH management and program advisors in the US;  - Travel throughout the region for program implementation and cross-programming initiatives;  - Develop program and organizational promotion and publicity;  - Research opportunities for new/continuing program development in Armenia."
30,Consultant (short-term),International Relief and Development (IRD) Armenia Branch urgently seeks a qualified individual to fill in a short-term position of a Consultant to conduct a feasibility study in an agricultural sector.,Consultant will develop a clear and thorough understanding of a certain product's local consumption and in future years consumption in neighboring countries. To do this he/she will prepare a clear analysis of the national and regional supply and demand of this and related consumer products. The analysis should answer the following questions concerning: - Supply and Demand Situation; - Economic Analysis of Canning and/or packaging of a new product  in Armenia; - Market Introduction and Acceptability Procedures.
32,Training Officer,"The United Methodist Committee on Relief (UMCOR) Armenia is seeking applicants for the position of Training Officer for ""Prevention and Control of HIV/AIDS and STIs"" Project implemented in Gegharkunik marz. The goal of the project is to reduce the risk of HIV/AIDS, STIs and TB among rural communities by promoting behavioural changes and strengthening the health care system's management of STIs.","- Participate in needs assessment for the selection of program villages in targeted region; - Work with community leaders, local authorities to organize selection of community health volunteers (CHVs) and to coordinate their activities; - Develop training curriculum and training modules for CHVs; - Conduct trainings of CHVs; - On regular basis monitor the quality of implementation of the program; - Travel on a regular basis to all target communities 70% of the workload consists of fieldwork."
36,Tester,"Synergy International Systems, Inc./Armenia is currently seeking self-motivated individuals to join our quality assurance team. The ideal candidate will meet the following basic requirements:","- Testing software at all levels; - Analyzing and reporting test results; - Working independently with the aim of creating a test environment; - Creating and maintaining test definitions and specifications; - Automating test procedures and writing test automation scripts; - Creating templates based on test results; - Analyzing software performance and reporting data metrics; - Developing best-case test scenarios; - Debugging, analyzing and fixing application problems/ issues."
37,Receptionist,AMERIA Closed Joint Stock Company is seeking a Receptionist to provide secretarial and administrative support to the office.,"- Handling call center receptionist duties in polite and courteous manner; - Collecting, sorting, distributing and filing incoming and outgoing correspondence, reports and other materials and transmit correspondence, documents, etc. via electronic mail, fax, courier service or other means of communication; - Typing and formatting a variety material including correspondence, reports, meeting papers,  minutes and protocols, faxes, statistical tables or tabular material; - Operating a variety of office equipment such as photocopier, facsimile, scanner and other peripherals; - Handling large volume of work quickly and accurately under time constraints; - Systematic and accurate handling of confidential material with discretion; - Courtesy, tact and ability to work effectively with people of different national and cultural backgrounds, receive telephone calls and office visitors and refer them to the appropriate source or reply personally to queries when possible or if required."
42,Receptionist,AMERIA Closed Joint Stock Company is seeking a Receptionist to provide secretarial and administrative support to the office.,"- Handling call center receptionist duties in polite and courteous manner; - Collecting, sorting, distributing and filing incoming and outgoing correspondence, reports and other materials and transmit correspondence, documents, etc. via electronic mail, fax, courier service or other means of communication; - Typing and formatting a variety material including correspondence, reports, meeting papers,  minutes and protocols, faxes, statistical tables or tabular material; - Operating a variety of office equipment such as photocopier, facsimile, scanner and other peripherals; - Handling large volume of work quickly and accurately under time constraints; - Systematic and accurate handling of confidential material with discretion; - Courtesy, tact and ability to work effectively with people of different national and cultural backgrounds, receive telephone calls and office visitors and refer them to the appropriate source or reply personally to queries when possible or if required."
44,Quality Assurance/ Health Systems Management Advisor,Initiatives Inc. seeks a Quality Assurance/ Health Systems Management Advisor for a multi-year assignment.,"- Provides technical and managerial leadership for primary health care improvement and management systems development; - Provides technical assistance for certification and accreditation; - Designs and manages program activities; - Manages administration, finances and staff; - Collaborates with partners at MOH; - Provides managerial support to COP; - Coordinates annual workplans, project reporting, and project reviews for QA, HR and management activities .Assists COP in ensuring that USAID requirements are met; - Works with senior management team to develop annual work plans .Builds the capacity of local staff to manage project activities."
50,Programs Manager,"Armenian Caritas is seeking an experienced Programs Manager to lead the development of programs and coordinate the design, documentation, monitoring, and evaluation of program activities for the purpose of assuring the ongoing quality. He/she will be fully aware of all aspects of all projects and will provide leadership and guidance to the program team (Project Managers and Project Staff).","- Monitor the overall programs performance and impact and coordinate the various Project activities; - Develop indicators and procedures for each project with each project manager; - Provide input into project design and implementation of AC programs; - Provide effective program leadership and guidance to the project managers; - Prepare the fiscal year operational plans and ongoing strategic planning to insure project initiatives remain appropriate, responsive, high in quality, focused and realistic; - Ensure the collection of appropriate baseline, data collection and surveillance systems for enhanced operational efficiency and effectiveness; - Evaluate the evolving status of the beneficiary population, verifiable measurements of achievements against program objectives; - Prepare implementation plans with project managers that measure quantitative and qualitative accomplishment of objectives; - Ensure that monthly and mid-term reports reflect verifiable measurement impact and accomplishment in accordance with the implementation plan; - Prepare executive summery report for board meetings; - Conduct project evaluations for maintaining quality, relevance and impact; - Monitor initiatives with the Project Managers; - Regular field visits to various project sites for the purpose of project evaluation/ monitoring; - To organize trainings for the technical personnel in the areas of project design and implementation; - Work with the Executive Director and Finance Manager to monitor fiscal year expenditures in relation to the accomplishment of project objectives; - Supervise the Project Managers and the projects staff; - Recommend trainings that would enhance the capacity of the program team; - Assure timely and quality reporting on to the partnership and donors; - Report on the progress of projects and initiatives to the Executive Director and PR Responsible; - Liaise with Donors, for program orientation, acquisition of resources and other issues; - Assure good collaboration with all donors, international and local NGOs and community entities."
51,Proposal Writer,Armenian Caritas seeks to hire a full-time Proposal Writer to develop and design the new projects and help the organization to achieve its strategic goals.,"- Researching funding sources, developing and writing proposals in collaboration with Program Managers and other staff members;  - Preparing grant applications and supporting documentation (charts, maps, slides, photographs and other visual aides) to ensure compliance with funding requirements, including researching demographic, statistical and factual data necessary for the applications, in all areas;  - Maintaining records for grants for compliance with applicable regulations and policies;  - Assisting in the implementation of the organization's strategic goals related to the program development;  - Lending assistance as needed with other development tasks, such as special events and donor solicitation;  - Attending meetings with senior staff."
55,Chief/ Supervisor of Programs Department,"The candidate will work for the promotion and development of the company's activities. The Supervisor will also work in close collaboration with special departments and be responsible for their monitoring. The candidate will supervise and organize programs, develop work plans and perform other duties project requires.",- Overall management of operation and direction of the department; - Manage project staff and subcontractors; - Develop and implement work plans; - Develop and maintain a strong professional relationship and ensure accurate documentation of communications and instructions.
56,Manufacturing Chief,"We are seeking a Manufacturing Chief, a professional who has diverse experience in all aspects of manufacturing of mechanical, electromechanical and electrical equipment. He will be responsible for all the processes the raw material will go through, until it is converted to finished products. He will also be responsible for keeping the manufacturing equipment maintained, in order to secure the quantity and quality of what is manufactured. He will report directly to the Executive Director.","- To manage all manufacturing functions in the following processes: - Machining - Lathes (manual and CNC); Milling machines (manual and CNC); - Grinding - Grinders (manual and CNC); - Gear manufacturing - Gear cutting machines (gear shaping, cutting, shaving); - Welding - Arc, MIG, TIG; - Heat treating - Induction Heat Treating - Case hardening - Deep hardening; - Plating and Finishing - Chrome plating - Anodizing - Black oxide depositing; - Painting - Wet paint - Powder coating; - Chemical etching; - Electrical systems manufacturing - Integration of control Systems, Wiring, Integration of Servo Systems; - Assembly (Mechanical, electrical, pneumatic and hydraulic) of final products; - Production Control and Process management: Starting from raw materials to handing the finished products for shipping to the customer; - Managing Statistical Process Control on the production floor; - Managing the maintenance of the manufacturing equipment; - Managing the educational efforts in the company's apprenticeship program. ADDITIONAL RESPONSIBILITIES:   - Participates in engineering reviews of product design and manufacturability; - Advisor to the Executive Director; - Participates in Industrial Shows, representing the company, whenever the need arises; - Attends training classes as required."
57,Driver,IntraHealth International/ Prime II project in Armenia is seeking a driver to work in Lori Marz and Yerevan offices.,- Drive office personnel when needed; - Take care of day-to-day maintenance of the vehicle; - Maintaining of vehicle log book; - Perform other related duties as required; - Drive extensively.
58,General Manager,Teleplus LLC is looking for a General Manager.,"- Manage and control the company's activities in Armenia; - Suggest, modify and secure the realization of corporate policies; - Promote efficiently the image, products and services of the company; - Develop beneficial cooperation with old and new customers; - Create mutually beneficial alliances with local authorities."
60,"Online Business Associates (part time, work from home)",The company WEB PROJECT is currently seeking qualified candidates for positions of associates in work-online business.,"- Place web announcements in the Internet; - Check the e-mails, process the correspondence and answer to client e-mails; - Create and operate client database sheets; - Receive and send parts of the ITN project to clients."
62,Country Director,"The Country Director is responsible for maintaining American Councils for International Education: ACTR/ ACCELS organizational relations in Armenia, overseeing internal operations in the Yerevan office, and providing oversight of student, undergraduate, graduate, post-graduate, and teacher and professional development exchange programs.","Primary responsibilities include: recruitment and testing of potential program participants; orientation and coordination of logistics for participants; oversight of administrative and finance functions; supervision and delivery of alumni programming; and liaison with government officials. The Country Director reports to the Acting Regional Directors for the South Caucasus and works with Washington-based program managers and field-based program officers.  Oversight and Leadership:  - Provides overall supervision of American Councils programs in Armenia by communicating, as needed, with Yerevan-based staff  members concerning academic, operational, and other policy matters as affected by the region's political, economic and cultural conditions; - Represents American Councils as related to all programs in individual consultations, public appearances, and meetings with potential and existing partners; - Maintains American Councils organizational relations in Armenia with relevant US government offices and institutions (the US embassy/ consulate, PAS, USAID, and other US government agencies); with the Armenian government and private institutions (government ministries, agencies and offices; national corporations; American Councils' institutional partners); with the in-country offices of American organizations and foundations; and, with the international and domestic press; - Communicates regularly with, and makes recommendations to the Acting Regional Directors on general program matters, on perceptions of American Councils administered programs and on the influence of local conditions on administration of programs in Armenia; - Participates actively in developing new programs, seeking new funding sources, and enhancing external relations. Administration and Finance:  - Oversees American Councils internal operations; - Coordinates the activities of program staff; and advises staff on American Councils policies and employment matters; - Manages all general office administrative matters such as negotiating contracts; interacting with landlords, maintaining proper work environment, etc.; - Provides DC office with finance reports monthly, and budgets every six months; monitors all outgoing and incoming funds; - Oversees tracking of all applicant and participant files; - Hires for approved positions, prepares contracts and maintains files for host-country national staff, trains and oversees staff,  conducts performance reviews, monitors proper submission of timesheets. Program Administration:  - Oversees and assists in organizing, implementing and reporting on activities, including recruitment and alumni activities delivered by host country offices; - Monitors all recruitment activities to assure timely and proper conduct of competitions; - Conducts recruitment, including advertising, lectures, interviews with finalist candidates, testing, correspondence, and meetings with parents, applicants and finalists, and those not selected; - Coordinates alumni activity planning and delivery of appropriate activities for alumni of all programs, oversees alumni assistants and alumni fellows, coordinates updates to alumni information, submits regular reports on alumni activity; - Coordinates appropriate contributions to recruitment and alumni activities from alumni, host-country national assistants, and Americans; - Meets with ministry and US government officials regularly to provide appropriate information and overview of the competition process and alumni activities; keeps them informed of changes regarding the competition; - Coordinates and supervises all logistics for events: meeting flights, transporting to hotels, organizing support staff, registering participants, providing support to dignitaries and guests."
63,Regional Director,The Eurasia Foundation is seeking candidates to manage a network of applied social science research and training centers in the South Caucasus.The CRRC centers offer training in modern social science research methodologies and house key bibliographic and online resources for policy-oriented research in the social sciences. Centers also work to promote regional networking for researchers and cross-border dialogue on the policy implications of research on key issues.,"The Regional Director is responsible for ongoing program management, budgeting and fundraising, strategy formulation and overall program development for the network of three centers in Tbilisi, Baku and Yerevan."
64,Administrative Assistant/ Secretary,ACH's Armenia Mission is seeking to employ a Administrative Assistant/ Secretary for the Sisian Base office.,"- To welcome visitors; - To organize and follow up switches between Sisian base and Yerevan; - To organize, transmit and follow up all phone and fax communications in the base; - To organize appointments and visits in the base; - To make all copies required for the team; - To maintain office supply; - To do written and oral translation English-Armenian, Armenian-English; - To perform other duties as required."
65,Program Expert,"The SME DNC of Armenia is looking for a qualified person to be hired on competitive basis for implementation of the Loan Guaranties pilot project stipulated as a separate point in ""SME Development State Support Program 2004"". The project will be extended further depending on start-up output.","- Provide relevant information on the project; - Run the overall procedure of loan guaranty provision; - Maintain the data base of applications for loan guaranty extension; - Prepare current analyses on project implementation, develop suggestions; - Carry out other assignments."
66,Project Coordinator,"The United Nations Development Programme in Armenia announces opening for Project Coordinator for the Project ""Promoting Human Rights and Facilitating Public Awareness of the Public Defender's Office in Armenia. The incumbent under direct supervision of UNDP Resident Representative will carry out overall coordination of the Project activities.","He/she will be responsible for the following issues: - Leading, supervising and monitoring overall operational activities of the Project; - Liaising with Government entities on consultations related to the expected commitments; - Liaising with Donor entities on consultations related to the expected commitments, in close cooperation with the UNDP Portfolio Manager; - Managing financial inputs delivery and ensuring planned outputs as per Project Document and work plan; - Ensuring preparation of the project budget revisions, monitoring the project budget execution; - Establishing project administrative structures, reporting to UNDP on financial and operational status of the Project;  - Initiating with the Government counterparts, and in collaboration with Donors, an assessment/ review of organisational methodologies for an independent Public Defender's Office (in line with constitutional developments); - Organising regional seminars."
67,Salesman / Trade agent,"- 6 days working week - Company provides new cars (Zhiguly 06), with an opportunity to acquire it in future.",- To distribute and display imported confectionary products on the assigned territory.  - To cover 150-200 trade outlets per week - To achieve sales volume targets
69,Admin/ Finance Clerk - 2004/ 001,The United Nations World Food Programme is seeking an Admin/ Finance Clerk for temporary assistance.,"Within delegated authority, the Admin /Finance Clerk will be responsible for the following duties:  - Prepare and initially park the financial transactions for Yerevan office; - Check all invoices and supporting financial documentation for correctness and accuracy;  - Prepare Petty Cash vouchers and maintain Petty Cash cashbook on a daily basis;  - Provide information related to financial transactions;  - Assist Administration Clerk in maintaining local Travel Authorisations (TA) and TA register;  - Assist Administration Clerk in general administration work;  - Perform other related duties as required."
71,Training and Institutional Capacity Building Specialist,"Eurecna SLR, the international consulting organisation which has been awarded the contract by the Delegation of the European Commission in Yerevan for the implementation of REDAM, seeks to fill the long-term position of Training and Institutional Capacity Building Specialist. We need an Armenian expert with extensive experience conducting training needs analyses and institutional capacity analyses, and developing training programmes. The candidate selected for this position will be contracted for the next 18 months within the EU International Team to help strengthen the capabilities of civil servants at local, regional and central levels. Eurecna is an equal opportunities employer.","- Assess and develop recommendations for strengthening the institutional capabilities of regional and local administrations; - Assess training needs of civil servants at local, regional and national levels for improved public service delivery; - Organise and deliver training workshops for national, regional and local civil servants in close collaboration with the National Commission for Civil Service and the Academy of Public Administration; - Support the development of a civil service training policy and manual supportive of the decentralisation process which will guarantee continuity and sustainability in the continuous upgrade of the civil servants skills at local, regional and central level."
74,Accountant,"The accountant is a full-time national staff position based in CCDI's Yerevan head office. Accountant is responsible for overseeing the daily financial operations of the organization (1 head office and 8 field offices). CCDI runs double entry bookkeeping on accrual bases in compliance with the National (International) Accounting Standards (NAS).  Accounting is computerized. Accounting software ""OC - 1"", MS Access based double entry bookkeeping.   Quicken also will be used for recordkeeping.  Some forms and tables are also done in Excel. Overall Job Functions, Major Duties, and Responsibilities - Development and implementation of effective accounting, internal controls, and fund control policies, procedures, and systems - Effective preparation, maintenance, and reporting of internal and external financial records and analyses - Oversee the daily financial operations and performance of the organization - Establish and maintain effective communication and coordination with management and field offices - Maintain effective business relations with the bank and outside auditors/regulatory authorities","- Manage program financial system and budget of the organization; - Implement general and every day accounting of the organization in accordance with the requirements of the donor organizations and in compliance with the RoA law; - Ensure that accurate and complete accounting, reporting and internal control systems are functioning and that all relevant records are maintained; - Review expenditures (in coordination with the Executive Director) to make sure that they are allowable; - Initiate payment vouchers, check all invoices for accuracy and totals as well as calculations; - Monitor the CCDI bank accounts and keep track of balances to ensure sufficiency of funds; - Input data into financial databases (both Quicken and double entry system); - Produce annual and monthly accounts and provide regular financial reports; - Track (in an Excel worksheet) and report to the Executive Director bi-weekly the organization's expenditures and provide other tracking reports (e.g., possibly car usage) as required by the Executive Director. - Perform reconciliations such as bank reconciliation (monthly), petty cash reconciliation (monthly) and fuel coupon reconciliation (monthly); - Run various ledgers for control purposes - e.g., Contract or Purchase Order Register; Invoice Register; Creditor Register; Cash - Book; Bank Payment Orders Register; Employee Attendance Register; Vacation/Sick Leave Schedule; Property, Plant and Equipment Register; General Ledger; Car Log Register; Fuel Coupon Register; and a Power of Attorney Register; - Manage expenditures and payroll; - Liaise with internal and external auditors; tax authorities and other governmental agencies; prepare and insure timely submission of the reports to the corresponding authorities as required by the RoA law (quarterly Income Tax reports and Pension Fund reports, VAT reports, annual reports etc.); - Stay current with the RoA related legislation; - Deal unscheduled or irregular financial issues as they arise; - Maintain the organization's system for filing and maintaining supporting documentation. - Maintain employee timesheets. - Maintain all contracts. - Maintain inventory records, which are to be checked semi-annually with the actual inventory. - Keep and store separately all receipts and other documentation to support expenses charged to each specific grant of the organization; - Communicate daily with the Executive Director; - Perform other duties as assigned by Executive Director."
75,Project Coordinator,"This is a full-time position based in CCDI's Yerevan head office with frequent travel outside of Yerevan. Overall Job Functions, Major Duties, and Responsibilities - Administering, organizing, coordinating the activities and services provided by the CCDI field offices. - Coordinating data collection and report submission by the CCDI field offices for all-organization reporting purposes/databases and for providing analysis/trends for oversight purposes, development of new initiatives, and ensuring a strategic approach to provision of services to clients.   - Coordination of public outreach/PR for the organization and by its field offices.","- Assisting and coordinating the civic education instructors' work with discussion groups and initiative groups, community forums and other various community development and civic initiatives, including large scale volunteer actions.  - Coordinating the work of instructors (organizing work groups) for the development of new themes, materials and approaches for discussion groups to be conducted by instructors.  - Taking a leading role in CCDI's PR efforts - including outreach, contact with the media, and development of information products (such as, during the next 6 months, a CCDI brochure, logo and website). - Providing feedback to management on possible new professional development and programmatic trainings for instructors. - Contributing to the development of new handouts, publications and other materials to be used by instructors. - Assisting in the coordination/organization of meetings, conferences and other special events/projects (including volunteer actions) as required. - Conducting monitoring site visits to CCDI field offices and activities organized by instructors. - Assisting as required, with the preparation of CCDI technical papers, reports, project updates and oral/written briefings. - Assisting as required with CCDI fundraising efforts and related strategic planning. - Communicate daily with the CCDI Executive Director and report on activities and project progress.  - Gather, enter, and/or update data to maintain project records and databases and as appropriate, establish and maintain files and records. - Perform other duties as assigned by Executive Director. DESIRED QUALIFICATIONS:    - Appropriate higher education  - Appropriate professional experience in the areas of responsibility for this position as well as in areas related to the mission of CCDI. - Organizing and coordinating skills  - Ability to compose and edit written materials. - Demonstrated good communication and listening skills. - Demonstrated ability to work in a team environment. - Some level of English ability with a commitment to personally improve this proficiency in the near future is strongly desired. - Computer knowledge (Minimum required is Microsoft Office, Internet/Email. Presentation, graphic design, and/or web design programs also desired.) - Willingness to work long or unusual hours/week-ends unexpectedly in order to meet goals and objectives. The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills."
